Location,X,Y,Group,Nearest_prev_group_loc,True Weibull Threshold
0,2,7,3,"4,5,6",0.3
1,3,7,3,"5,6,7",0.4
2,4,7,3,"6,7,8",0.3
3,5,7,3,"7,8,9",0.3
4,1,6,2,12,0.3
5,2,6,2,12,0.2
6,3,6,2,12,0.1
7,4,6,2,15,0.1
8,5,6,2,15,0.1
9,6,6,2,15,0.15
10,0,5,3,"4,11",0.2
11,1,5,2,12,0.09
12,2,5,1,,0.07
13,3,5,2,12,0.05
14,4,5,2,15,0.05
15,5,5,1,,0.05
16,6,5,2,15,0.1
17,7,5,3,"9,16,23",0.17
18,0,4,3,11,0.2
19,2,4,2,12,0.07
20,3,4,2,12,0.05
21,4,4,2,15,0.05
22,5,4,2,15,0.05
23,6,4,2,15,0.07
24,7,4,3,"16,23,31",0.09
25,8,4,4,"17,24,32",0.2
26,0,3,3,35,0.15
27,2,3,2,36,0.05
28,3,3,2,36,0.05
29,4,3,2,39,0.05
30,5,3,2,39,0.06
31,6,3,2,39,0.08
32,7,3,3,"23,31,40",0.14
33,8,3,4,"24,32,41",0.18
34,0,2,3,35,0.1
35,1,2,2,36,0.06
36,2,2,1,,0.05
37,3,2,2,36,0.05
38,4,2,2,39,0.05
39,5,2,1,,0.05
40,6,2,2,39,0.07
41,7,2,3,"31,40,47",0.12
42,1,1,2,36,0.1
43,2,1,2,36,0.07
44,3,1,2,36,0.05
45,4,1,2,39,0.06
46,5,1,2,39,0.05
47,6,1,2,39,0.07
48,2,0,3,"42,43,44",0.1
49,3,0,3,"43,44,45",0.12
50,4,0,3,"44,45,46",0.15
51,5,0,3,"45,46,47",0.12
